"","site","dat"
"774","62089082272","fia_small"
"775","62089083577","fia_small"
"776","62089084709","fia_small"
"777","62089087555","fia_small"
"778","62089087651","fia_small"
"779","62089091300","fia_small"
"780","62089097190","fia_small"
"781","62093054963","fia_small"
"782","62093058266","fia_small"
"783","62093060157","fia_small"
"784","62093061023","fia_small"
"785","62093066541","fia_small"
"786","62093068510","fia_small"
"787","62093069682","fia_small"
"788","62093071419","fia_small"
"789","62093074597","fia_small"
"790","62093076675","fia_small"
"791","62093080581","fia_small"
"792","62093082696","fia_small"
"793","62093086394","fia_small"
"794","62093088450","fia_small"
"795","62093090724","fia_small"
"796","62093091750","fia_small"
"797","62093092285","fia_small"
"798","62093092351","fia_small"
"799","62105053163","fia_small"
"800","62105054632","fia_small"
"801","62105055754","fia_small"
"802","62105057461","fia_small"
"803","62105058127","fia_small"
"804","62105058147","fia_small"
"805","62105073516","fia_small"
"806","62105076437","fia_small"
"807","62105078061","fia_small"
"808","62105078287","fia_small"
"809","62105082110","fia_small"
"810","62105082944","fia_small"
"811","62105084264","fia_small"
"812","62105085477","fia_small"
"813","62105086118","fia_small"
"814","62105088833","fia_small"
"815","62105088857","fia_small"
"816","62105089654","fia_small"
"817","62105093260","fia_small"
"818","62105093422","fia_small"
"819","62105094754","fia_small"
"820","62105095817","fia_small"
"821","62105097584","fia_small"
"822","62105099422","fia_small"
"823","63007050714","fia_small"
"824","63007053039","fia_small"
"825","63007058932","fia_small"
"826","63007062932","fia_small"
"827","63007090464","fia_small"
"828","63007091222","fia_small"
"829","63007096460","fia_small"
"830","63011059478","fia_small"
"831","63017051612","fia_small"
"832","63017055516","fia_small"
"833","63017058122","fia_small"
"834","63017061241","fia_small"
"835","63017061382","fia_small"
"836","63017063587","fia_small"
"837","63017068162","fia_small"
"838","63017073495","fia_small"
"839","63017074171","fia_small"
"840","63017076753","fia_small"
"841","63017078904","fia_small"
"842","63017081920","fia_small"
"843","63017096427","fia_small"
"844","63017097297","fia_small"
"845","63017098078","fia_small"
"846","63021065418","fia_small"
"847","63033052293","fia_small"
"848","63033053043","fia_small"
"849","63033072909","fia_small"
"850","63055096278","fia_small"
"851","63057051102","fia_small"
"852","63057055673","fia_small"
"853","63057057153","fia_small"
"854","63057072049","fia_small"
"855","63057075242","fia_small"
"856","63057076032","fia_small"
"857","63057091799","fia_small"
"858","63057094500","fia_small"
"859","63061053993","fia_small"
"860","63061060293","fia_small"
"861","63061063544","fia_small"
"862","63061068288","fia_small"
"863","63061075265","fia_small"
"864","63061085083","fia_small"
"865","63061099427","fia_small"
"866","63063055711","fia_small"
"867","63063057519","fia_small"
"868","63063058788","fia_small"
"869","63063059517","fia_small"
"870","63063061690","fia_small"
"871","63063066019","fia_small"
"872","63063066408","fia_small"
"873","63063076784","fia_small"
"874","63063076815","fia_small"
"875","63063081869","fia_small"
"876","63063087483","fia_small"
"877","63063093409","fia_small"
"878","63063096660","fia_small"
"879","63063097080","fia_small"
"880","63063098023","fia_small"
"881","63063098978","fia_small"
"882","63063099490","fia_small"
"883","63091056116","fia_small"
"884","63091089919","fia_small"
"885","63091093016","fia_small"
"886","63103059136","fia_small"
"887","63103066407","fia_small"
"888","63103078004","fia_small"
"889","63103078186","fia_small"
"890","63103080008","fia_small"
"891","63103093985","fia_small"
"892","63115053076","fia_small"
"893","63115078474","fia_small"
"894","64041092213","fia_small"
"895","64053057793","fia_small"
"896","64053058527","fia_small"
"897","64053092605","fia_small"
"898","64081052823","fia_small"
"899","64081054075","fia_small"
"900","64085070548","fia_small"
"901","64085079428","fia_small"
"902","64085080056","fia_small"
"903","64085087177","fia_small"
