"source","dat","site","singletons","s0","n0","sim","nparts","real_po","real_r2","best_po_sim","sim_pos_from_best","sim_r2_from_best","sim_r2_from_best_median","ncomparisons","real_po_percentile","real_po_percentile_excl","real_r2_percentile","real_r2_percentile_excl"
"observed","mcdb","1625_jacknife_8",FALSE,3,21,-99,"37",0.0952380952380952,0.923076923076923,20,0.136243386243386,-Inf,0.76844262295082,36,47.2222222222222,16.6666666666667,86.1111111111111,80.5555555555556
"observed","mcdb","1625_jacknife_9",FALSE,3,21,-99,"37",0.0952380952380952,0.666666666666667,34,0.136243386243386,-Inf,0.76844262295082,36,47.2222222222222,16.6666666666667,33.3333333333333,30.5555555555556
"observed","mcdb","1631_jacknife_1",FALSE,1,3,-99,"1",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"observed","mcdb","1660_jacknife_1",FALSE,2,17,-99,"8",0,1,-99,0.142857142857143,-14.5674887819315,0.673469387755102,7,14.2857142857143,0,100,85.7142857142857
"observed","mcdb","1660_jacknife_10",FALSE,2,17,-99,"8",0.117647058823529,0.905325443786982,3,0.134453781512605,-8.85848072293056,0.84,7,57.1428571428571,28.5714285714286,71.4285714285714,57.1428571428571
"observed","mcdb","1660_jacknife_2",FALSE,2,17,-99,"8",0,1,-99,0.126050420168067,-14.3688291699385,0.928888888888889,7,14.2857142857143,0,100,85.7142857142857
"observed","mcdb","1660_jacknife_3",FALSE,2,17,-99,"8",0.117647058823529,0.905325443786982,6,0.134453781512605,-8.85848072293056,0.84,7,57.1428571428571,28.5714285714286,71.4285714285714,57.1428571428571
"observed","mcdb","1660_jacknife_4",FALSE,2,17,-99,"8",0,1,-99,0.134453781512605,-4.51669344210137,0.78698224852071,7,0,0,100,100
"observed","mcdb","1660_jacknife_5",FALSE,2,17,-99,"8",0,1,-99,0.109243697478992,-8.28705215150199,0.905325443786982,7,14.2857142857143,0,100,85.7142857142857
"observed","mcdb","1660_jacknife_6",FALSE,2,17,-99,"8",0,1,-99,0.117647058823529,-8.8449557863287,0.84,7,14.2857142857143,0,100,85.7142857142857
"observed","mcdb","1660_jacknife_7",FALSE,1,17,-99,"1",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"observed","mcdb","1660_jacknife_8",FALSE,2,17,-99,"8",0,1,-99,0.134453781512605,-14.5643847254941,0.673469387755102,7,14.2857142857143,0,100,85.7142857142857
"observed","mcdb","1660_jacknife_9",FALSE,2,17,-99,"8",0,1,-99,0.142857142857143,-14.5674887819315,0.673469387755102,7,14.2857142857143,0,100,85.7142857142857
"observed","mcdb","1752_jacknife_1",FALSE,7,116,-99,"943242",0.0948275862068965,0.939070454918706,1890,0.13023314113813,0.691831903930404,0.848316251830161,3989,29.9824517422913,23.2890448734019,82.5520180496365,82.5269491100527
"observed","mcdb","1752_jacknife_10",FALSE,7,116,-99,"943242",0.112068965517241,0.89482808436868,272,0.125409736817069,0.716208211107003,0.861386138613861,3987,49.3855028843742,41.8359668924003,63.3559066967645,63.3559066967645
"observed","mcdb","1752_jacknife_2",FALSE,7,116,-99,"943242",0.0948275862068965,0.936302681992337,3622,0.127013079070893,0.689702973122206,0.856047403276403,3989,32.0381047881675,24.9686638255202,79.8445725745801,79.8445725745801
"observed","mcdb","1752_jacknife_3",FALSE,7,116,-99,"943242",0.146551724137931,0.855523255813953,2887,0.127983087192612,0.7702227742529,0.855354559038575,3988,74.8244734202608,69.2828485456369,50.1003009027081,50.0752256770311
"observed","mcdb","1752_jacknife_4",FALSE,7,116,-99,"943242",0.129310344827586,0.861994924848722,3935,0.131128518802895,0.701068758574132,0.852506660208283,3997,60.9206905178884,53.7903427570678,53.1898924193145,53.1898924193145
"observed","mcdb","1752_jacknife_5",FALSE,7,116,-99,"943242",0.112068965517241,0.913438617401669,2253,0.126284139313455,0.723201911235417,0.856018774157924,3991,47.8827361563518,40.1904284640441,71.4357303933851,71.4357303933851
"observed","mcdb","1752_jacknife_6",FALSE,7,116,-99,"943242",0.146551724137931,0.803717706364209,93,0.130593172673387,0.76949621050799,0.854660104583205,3985,72.5219573400251,67.9046424090339,35.4830614805521,35.4830614805521
"observed","mcdb","1752_jacknife_7",FALSE,7,116,-99,"943242",0.137931034482759,0.832980375547085,1628,0.125796453300641,0.759441120840067,0.866989310545076,3994,70.4056084126189,65.7986980470706,39.2338507761642,39.2338507761642
"observed","mcdb","1752_jacknife_8",FALSE,7,116,-99,"943242",0.146551724137931,0.836286321757619,2106,0.127448691004385,0.707427096433459,0.864425360862416,3987,73.288186606471,69.2249811888638,41.6353147730123,41.6353147730123
"observed","mcdb","1752_jacknife_9",FALSE,7,116,-99,"943242",0.120689655172414,0.890052356020942,2742,0.127403513924401,0.749886290206111,0.860245722936247,3992,57.1643286573146,50.1002004008016,62.3496993987976,62.3496993987976
"observed","mcdb","1767_jacknife_1",FALSE,3,113,-99,"1064",0.31858407079646,0.690688338392245,8,0.134029487168567,-4.02917443172477,0.826332671452574,1039,98.8450433108759,98.4600577478345,30.8950914340712,30.7988450433109
"observed","mcdb","1767_jacknife_10",FALSE,3,113,-99,"1064",0.345132743362832,0.644211967149003,182,0.134679734343417,-3.24418259272092,0.815173268515998,1042,98.8483685220729,98.4644913627639,23.6084452975048,23.5124760076775
"observed","mcdb","1767_jacknife_2",FALSE,3,113,-99,"1064",0.309734513274336,0.680974353471403,934,0.134117886627241,-3.31775702876673,0.823071937783539,1043,97.6030680728667,97.1236816874401,28.2837967401726,28.1879194630872
"observed","mcdb","1767_jacknife_3",FALSE,3,113,-99,"1064",0.31858407079646,0.645245976486702,79,0.13596215582695,-2.59597073603317,0.811125586035498,1042,96.5451055662188,95.9692898272553,22.3608445297505,22.2648752399232
"observed","mcdb","1767_jacknife_4",FALSE,3,113,-99,"1064",0.309734513274336,0.68840213990108,580,0.13529135137446,-4.18174261340379,0.816326530612245,1035,98.4541062801932,98.0676328502416,30.4347826086957,30.3381642512077
"observed","mcdb","1767_jacknife_5",FALSE,3,113,-99,"1064",0.300884955752212,0.704242928452579,784,0.134518394620288,-3.89823400124509,0.824828509285595,1037,98.0713596914175,97.5891996142719,32.4011571841851,32.304725168756
"observed","mcdb","1767_jacknife_6",FALSE,3,113,-99,"1064",0.31858407079646,0.68666196189132,442,0.133962521527103,-3.65392196592243,0.821843187929865,1038,98.5549132947977,98.1695568400771,29.9614643545279,29.8651252408478
"observed","mcdb","1767_jacknife_7",FALSE,3,113,-99,"1064",0.336283185840708,0.635583217083378,74,0.137522978923518,-2.41974000656973,0.807440246723207,1035,97.5845410628019,97.1014492753623,22.9951690821256,22.8985507246377
"observed","mcdb","1767_jacknife_8",FALSE,3,113,-99,"1064",0.327433628318584,0.645713654441007,826,0.136790102242461,-2.53999181789464,0.812067766363164,1030,97.0873786407767,96.504854368932,23.495145631068,23.3980582524272
"observed","mcdb","1767_jacknife_9",FALSE,3,113,-99,"1064",0.327433628318584,0.676289492278187,359,0.135908161447153,-2.96231518571475,0.822631913541005,1043,98.4659635666347,98.0824544582934,28.7631831255992,28.6673058485139
