"rank","abund","site","dat","singletons","sim","source"
1,1,"14007000074","fia_small",FALSE,-99,"observed"
2,1,"14007000074","fia_small",FALSE,-99,"observed"
3,1,"14007000074","fia_small",FALSE,-99,"observed"
1,1,"14057000005","fia_small",FALSE,-99,"observed"
2,1,"14057000005","fia_small",FALSE,-99,"observed"
3,1,"14057000005","fia_small",FALSE,-99,"observed"
4,1,"14057000005","fia_small",FALSE,-99,"observed"
1,1,"14057000026","fia_small",FALSE,-99,"observed"
2,1,"14057000026","fia_small",FALSE,-99,"observed"
1,1,"14057000030","fia_small",FALSE,-99,"observed"
1,1,"14057000031","fia_small",FALSE,-99,"observed"
2,1,"14057000031","fia_small",FALSE,-99,"observed"
3,1,"14057000031","fia_small",FALSE,-99,"observed"
4,1,"14057000031","fia_small",FALSE,-99,"observed"
5,1,"14057000031","fia_small",FALSE,-99,"observed"
1,1,"14057000038","fia_small",FALSE,-99,"observed"
2,1,"14057000038","fia_small",FALSE,-99,"observed"
3,1,"14057000038","fia_small",FALSE,-99,"observed"
1,1,"14057000039","fia_small",FALSE,-99,"observed"
2,1,"14057000039","fia_small",FALSE,-99,"observed"
1,1,"14063000012","fia_small",FALSE,-99,"observed"
2,1,"14063000012","fia_small",FALSE,-99,"observed"
3,1,"14063000012","fia_small",FALSE,-99,"observed"
4,1,"14063000012","fia_small",FALSE,-99,"observed"
5,1,"14063000012","fia_small",FALSE,-99,"observed"
6,1,"14063000012","fia_small",FALSE,-99,"observed"
1,1,"14063000043","fia_small",FALSE,-99,"observed"
2,1,"14063000043","fia_small",FALSE,-99,"observed"
3,1,"14063000043","fia_small",FALSE,-99,"observed"
1,1,"14065000007","fia_small",FALSE,-99,"observed"
2,1,"14065000007","fia_small",FALSE,-99,"observed"
1,1,"14065000020","fia_small",FALSE,-99,"observed"
1,1,"14065000045","fia_small",FALSE,-99,"observed"
2,1,"14065000045","fia_small",FALSE,-99,"observed"
3,1,"14065000045","fia_small",FALSE,-99,"observed"
4,1,"14065000045","fia_small",FALSE,-99,"observed"
1,1,"14065000076","fia_small",FALSE,-99,"observed"
2,1,"14065000076","fia_small",FALSE,-99,"observed"
3,1,"14065000076","fia_small",FALSE,-99,"observed"
4,1,"14065000076","fia_small",FALSE,-99,"observed"
1,1,"14075000021","fia_small",FALSE,-99,"observed"
2,1,"14075000021","fia_small",FALSE,-99,"observed"
3,1,"14075000021","fia_small",FALSE,-99,"observed"
1,1,"14075000029","fia_small",FALSE,-99,"observed"
2,1,"14075000029","fia_small",FALSE,-99,"observed"
3,1,"14075000029","fia_small",FALSE,-99,"observed"
1,1,"14075000039","fia_small",FALSE,-99,"observed"
2,1,"14075000039","fia_small",FALSE,-99,"observed"
3,1,"14075000039","fia_small",FALSE,-99,"observed"
4,1,"14075000039","fia_small",FALSE,-99,"observed"
1,1,"14075000079","fia_small",FALSE,-99,"observed"
2,1,"14075000079","fia_small",FALSE,-99,"observed"
3,1,"14075000079","fia_small",FALSE,-99,"observed"
4,1,"14075000079","fia_small",FALSE,-99,"observed"
1,1,"14093000004","fia_small",FALSE,-99,"observed"
1,1,"14093000014","fia_small",FALSE,-99,"observed"
